name,alcohol,image_link,category
1000억_유산균_막걸리,5,https://storage.googleapis.com/cheersmate/images/1000%E1%84%8B%E1%85%A5%E1%86%A8_%E1%84%8B%E1%85%B2%E1%84%89%E1%85%A1%E1%86%AB%E1%84%80%E1%85%B2%E1%86%AB_%E1%84%86%E1%85%A1%E1%86%A8%E1%84%80%E1%85%A5%E1%86%AF%E1%84%85%E1%85%B5.png,막걸리
1000억_프리바이오_막걸리,5,https://storage.googleapis.com/cheersmate/images/1000%E1%84%8B%E1%85%A5%E1%86%A8_%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%84%87%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%A9_%E1%84%86%E1%85%A1%E1%86%A8%E1%84%80%E1%85%A5%E1%86%AF%E1%84%85%E1%85%B5.png,막걸리
1000억막걸리프리바이오,5,https://dbscthumb-phinf.pstatic.net/4776_000_3/20200824211414848_3VYTFRKKT.png/fe87_527_i1.png?type=m4500_4500_fst_n&wm=Y,막걸리
1000억유산균막걸리,5,https://dbscthumb-phinf.pstatic.net/4776_000_3/20200824211745693_5GX8P72WC.png/fe87_528_i1.png?type=m4500_4500_fst_n&wm=Y,막걸리
1932새싹땅콩햅쌀막걸리,6,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170529155654649_UCG6KNQ0X.jpg/fe87_112_i1.jpg?type=m4500_4500_fst_n&wm=Y,막걸리
1932새싹땅콩흑미막걸리,6,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170529155600621_18IACGCNU.jpg/fe87_111_i1.jpg?type=m4500_4500_fst_n&wm=Y,막걸리
g12골디락스,12,https://dbscthumb-phinf.pstatic.net/4776_000_3/20220323113635016_X2OFH4FIJ.jpg/fe87_531_i1.jpg?type=m4500_4500_fst_n&wm=Y,막걸리
JMT_막걸리,9.7,https://storage.googleapis.com/cheersmate/images/JMT_%E1%84%86%E1%85%A1%E1%86%A8%E1%84%80%E1%85%A5%E1%86%AF%E1%84%85%E1%85%B5.png,막걸리
가덕순쌀막걸리,6,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726180526179_0TTMYF538.jpg/fe87_420_i1.jpg?type=m4500_4500_fst_n&wm=Y,막걸리
가야막걸리,6,https://storage.googleapis.com/cheersmate/images/%E1%84%80%E1%85%A1%E1%84%8B%E1%85%A3%E1%84%86%E1%85%A1%E1%86%A8%E1%84%80%E1%85%A5%E1%86%AF%E1%84%85%E1%85%B5.png,막걸리
가와지탁주_10,10,https://storage.googleapis.com/cheersmate/images/%E1%84%80%E1%85%A1%E1%84%8B%E1%85%AA%E1%84%8C%E1%85%B5%E1%84%90%E1%85%A1%E1%86%A8%E1%84%8C%E1%85%AE_10.png,막걸리
가와지탁주_8,8,https://storage.googleapis.com/cheersmate/images/%E1%84%80%E1%85%A1%E1%84%8B%E1%85%AA%E1%84%8C%E1%85%B5%E1%84%90%E1%85%A1%E1%86%A8%E1%84%8C%E1%85%AE_8.png,막걸리
가평잣막걸리,6,https://storage.googleapis.com/cheersmate/images/%E1%84%80%E1%85%A1%E1%84%91%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BA%E1%84%86%E1%85%A1%E1%86%A8%E1%84%80%E1%85%A5%E1%86%AF%E1%84%85%E1%85%B5.png,막걸리
가평잣생막걸리,6,https://storage.googleapis.com/cheersmate/images/%E1%84%80%E1%85%A1%E1%84%91%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BA%E1%84%89%E1%85%A2%E1%86%BC%E1%84%86%E1%85%A1%E1%86%A8%E1%84%80%E1%85%A5%E1%86%AF%E1%84%85%E1%85%B5.png,막걸리
