대분류 음식,세부 음식,이미지 URL
구이,갈비구이,https://storage.googleapis.com/gc_cheersmate/구이/갈비구이/Img_000_0001.jpg
구이,갈치구이,https://storage.googleapis.com/gc_cheersmate/구이/갈치구이/Img_001_0000.jpg
구이,고등어구이,https://storage.googleapis.com/gc_cheersmate/구이/고등어구이/Img_002_0029.jpg
구이,곱창구이,https://storage.googleapis.com/gc_cheersmate/구이/곱창구이/Img_003_0046.jpg
구이,닭갈비,https://storage.googleapis.com/gc_cheersmate/구이/닭갈비/Img_004_0107.jpg
구이,더덕구이,https://storage.googleapis.com/gc_cheersmate/구이/더덕구이/Img_005_0033.JPG
구이,떡갈비,https://storage.googleapis.com/gc_cheersmate/구이/떡갈비/Img_006_0003.jpg
구이,불고기,https://storage.googleapis.com/gc_cheersmate/구이/불고기/Img_007_0019.jpg
구이,삼겹살,https://storage.googleapis.com/gc_cheersmate/구이/삼겹살/Img_008_0113.jpg
구이,장어구이,https://storage.googleapis.com/gc_cheersmate/구이/장어구이/Img_009_0014.jpg
구이,조개구이,https://storage.googleapis.com/gc_cheersmate/구이/조개구이/Img_010_0063.jpg
구이,조기구이,https://storage.googleapis.com/gc_cheersmate/구이/조기구이/Img_011_0041.jpg
구이,황태구이,https://storage.googleapis.com/gc_cheersmate/구이/황태구이/Img_012_0064.jpg
구이,훈제오리,https://storage.googleapis.com/gc_cheersmate/구이/훈제오리/Img_013_0105.jpg
국,계란국,https://storage.googleapis.com/gc_cheersmate/국/계란국/Img_014_0066.png
국,떡국,https://storage.googleapis.com/gc_cheersmate/국/떡국/Img_015_0018.jpg
국,무국,https://storage.googleapis.com/gc_cheersmate/국/무국/Img_016_0057.jpg
국,미역국,https://storage.googleapis.com/gc_cheersmate/국/미역국/Img_017_0027.jpg
국,북엇국,https://storage.googleapis.com/gc_cheersmate/국/북엇국/Img_018_0034.jpg
국,시래기국,https://storage.googleapis.com/gc_cheersmate/국/시래기국/Img_019_0072.jpg
국,육개장,https://storage.googleapis.com/gc_cheersmate/국/육개장/Img_020_0095.jpg
국,콩나물국,https://storage.googleapis.com/gc_cheersmate/국/콩나물국/Img_021_0013.jpg
기타,과메기,https://storage.googleapis.com/gc_cheersmate/기타/과메기/Img_022_0030.jpg
기타,양념치킨,https://storage.googleapis.com/gc_cheersmate/기타/양념치킨/Img_023_0577.jpg
기타,젓갈,https://storage.googleapis.com/gc_cheersmate/기타/젓갈/Img_024_0020.jpg
기타,콩자반,https://storage.googleapis.com/gc_cheersmate/기타/콩자반/Img_025_0007.jpg
기타,편육,https://storage.googleapis.com/gc_cheersmate/기타/편육/Img_026_0034.jpg
기타,피자,https://storage.googleapis.com/gc_cheersmate/기타/피자/Img_027_0030.jpg
기타,후라이드치킨,https://storage.googleapis.com/gc_cheersmate/기타/후라이드치킨/Img_028_0030.JPG
떡,경단,https://storage.googleapis.com/gc_cheersmate/떡/경단/Img_046_0971.jpg
떡,꿀떡,https://storage.googleapis.com/gc_cheersmate/떡/꿀떡/Img_047_0928.jpg
떡,송편,https://storage.googleapis.com/gc_cheersmate/떡/송편/Img_048_0500.jpg
만두,만두,https://storage.googleapis.com/gc_cheersmate/만두/만두/Img_049_0907.jpg
면,라면,https://storage.googleapis.com/gc_cheersmate/면/라면/Img_050_0975.jpg
면,막국수,https://storage.googleapis.com/gc_cheersmate/면/막국수/Img_051_0940.jpg
면,물냉면,https://storage.googleapis.com/gc_cheersmate/면/물냉면/Img_052_0930.JPG
면,수제비,https://storage.googleapis.com/gc_cheersmate/면/수제비/Img_054_0986.jpg
면,열무국수,https://storage.googleapis.com/gc_cheersmate/면/열무국수/Img_055_0962.jpg
면,잔치국수,https://storage.googleapis.com/gc_cheersmate/면/잔치국수/Img_056_0984.jpg
면,짜장면,https://storage.googleapis.com/gc_cheersmate/면/짜장면/Img_057_0998.jpg
면,짬뽕,https://storage.googleapis.com/gc_cheersmate/면/짬뽕/Img_058_0994.jpg
면,쫄면,https://storage.googleapis.com/gc_cheersmate/면/쫄면/Img_059_0973.jpg
면,칼국수,https://storage.googleapis.com/gc_cheersmate/면/칼국수/Img_060_0901.jpg
무침,꽈리고추무침,https://storage.googleapis.com/gc_cheersmate/무침/꽈리고추무침/Img_062_0883.jpg
무침,도라지무침,https://storage.googleapis.com/gc_cheersmate/무침/도라지무침/Img_063_0929.jpg
무침,도토리묵,https://storage.googleapis.com/gc_cheersmate/무침/도토리묵/Img_064_0951.jpg
무침,잡채,https://storage.googleapis.com/gc_cheersmate/무침/잡채/Img_065_0905.jpg
무침,콩나물무침,https://storage.googleapis.com/gc_cheersmate/무침/콩나물무침/Img_066_0975.JPG
무침,홍어무침,https://storage.googleapis.com/gc_cheersmate/무침/홍어무침/Img_067_0075.jpg
무침,회무침,https://storage.googleapis.com/gc_cheersmate/무침/회무침/Img_068_0297.jpg
밥,김밥,https://storage.googleapis.com/gc_cheersmate/밥/김밥/Img_069_0543.jpg
밥,김치볶음밥,https://storage.googleapis.com/gc_cheersmate/밥/김치볶음밥/Img_070_0956.jpg
밥,누룽지,https://storage.googleapis.com/gc_cheersmate/밥/누룽지/Img_071_0888.jpg
밥,비빔밥,https://storage.googleapis.com/gc_cheersmate/밥/비빔밥/Img_072_0953.jpg
밥,새우볶음밥,https://storage.googleapis.com/gc_cheersmate/밥/새우볶음밥/Img_073_0900.jpg
밥,알밥,https://storage.googleapis.com/gc_cheersmate/밥/알밥/Img_074_0945.jpg
밥,유부초밥,https://storage.googleapis.com/gc_cheersmate/밥/유부초밥/Img_075_0969.JPG
밥,잡곡밥,https://storage.googleapis.com/gc_cheersmate/밥/잡곡밥/Img_076_0971.jpg
밥,주먹밥,https://storage.googleapis.com/gc_cheersmate/밥/주먹밥/Img_077_0944.jpg
볶음,건새우볶음,https://storage.googleapis.com/gc_cheersmate/볶음/건새우볶음/Img_079_0963.jpg
볶음,고추장진미채볶음,https://storage.googleapis.com/gc_cheersmate/볶음/고추장진미채볶음/Img_080_0985.jpg
볶음,두부김치,https://storage.googleapis.com/gc_cheersmate/볶음/두부김치/Img_081_0941.jpg
볶음,떡볶이,https://storage.googleapis.com/gc_cheersmate/볶음/떡볶이/Img_082_0959.jpg
볶음,멸치볶음,https://storage.googleapis.com/gc_cheersmate/볶음/멸치볶음/Img_084_0992.jpg
볶음,소세지볶음,https://storage.googleapis.com/gc_cheersmate/볶음/소세지볶음/Img_085_0995.jpg
볶음,오징어채볶음,https://storage.googleapis.com/gc_cheersmate/볶음/오징어채볶음/Img_087_0008.jpg
볶음,제육볶음,https://storage.googleapis.com/gc_cheersmate/볶음/제육볶음/Img_088_0997.jpg
볶음,주꾸미볶음,https://storage.googleapis.com/gc_cheersmate/볶음/주꾸미볶음/Img_089_0952.jpg
쌈,보쌈,https://storage.googleapis.com/gc_cheersmate/쌈/보쌈/Img_090_0934.JPG
장,간장게장,https://storage.googleapis.com/gc_cheersmate/장/간장게장/Img_093_0966.jpg
장,양념게장,https://storage.googleapis.com/gc_cheersmate/장/양념게장/Img_094_0109.jpg
장아찌,깻잎장아찌,https://storage.googleapis.com/gc_cheersmate/장아찌/깻잎장아찌/Img_095_0971.jpg
적,떡꼬치,https://storage.googleapis.com/gc_cheersmate/적/떡꼬치/Img_096_0008.jpg
전,감자전,https://storage.googleapis.com/gc_cheersmate/전/감자전/Img_097_0964.jpg
전,계란말이,https://storage.googleapis.com/gc_cheersmate/전/계란말이/Img_098_0995.jpg
전,계란후라이,https://storage.googleapis.com/gc_cheersmate/전/계란후라이/Img_099_0990.jpg
전,김치전,https://storage.googleapis.com/gc_cheersmate/전/김치전/Img_100_0991.jpg
전,동그랑땡,https://storage.googleapis.com/gc_cheersmate/전/동그랑땡/Img_101_0980.jpg
전,생선전,https://storage.googleapis.com/gc_cheersmate/전/생선전/Img_102_0998.jpg
전,파전,https://storage.googleapis.com/gc_cheersmate/전/파전/Img_103_0996.jpg
전,호박전,https://storage.googleapis.com/gc_cheersmate/전/호박전/Img_104_0999.jpg
전골,곱창전골,https://storage.googleapis.com/gc_cheersmate/전골/곱창전골/Img_105_0058.jpg
조림,갈치조림,https://storage.googleapis.com/gc_cheersmate/조림/갈치조림/Img_106_0114.jpg
조림,감자조림,https://storage.googleapis.com/gc_cheersmate/조림/감자조림/Img_107_0014.jpg
조림,꽁치조림,https://storage.googleapis.com/gc_cheersmate/조림/꽁치조림/Img_109_0978.jpg
조림,두부조림,https://storage.googleapis.com/gc_cheersmate/조림/두부조림/Img_110_0985.jpg
조림,땅콩조림,https://storage.googleapis.com/gc_cheersmate/조림/땅콩조림/Img_111_0899.jpg
조림,메추리알장조림,https://storage.googleapis.com/gc_cheersmate/조림/메추리알장조림/Img_112_0999.jpg
조림,장조림,https://storage.googleapis.com/gc_cheersmate/조림/장조림/Img_115_0646.JPG
조림,코다리조림,https://storage.googleapis.com/gc_cheersmate/조림/코다리조림/Img_116_0001.JPG
죽,전복죽,https://storage.googleapis.com/gc_cheersmate/죽/전복죽/Img_117_0091.jpg
죽,호박죽,https://storage.googleapis.com/gc_cheersmate/죽/호박죽/Img_118_0057.jpg
찌개,김치찌개,https://storage.googleapis.com/gc_cheersmate/찌개/김치찌개/Img_119_0125.jpg
찌개,닭계장,https://storage.googleapis.com/gc_cheersmate/찌개/닭계장/Img_120_0981.jpg
찌개,동태찌개,https://storage.googleapis.com/gc_cheersmate/찌개/동태찌개/Img_121_0864.jpg
찌개,된장찌개,https://storage.googleapis.com/gc_cheersmate/찌개/된장찌개/Img_122_0997.jpg
찌개,순두부찌개,https://storage.googleapis.com/gc_cheersmate/찌개/순두부찌개/Img_123_0993.jpg
찜,갈비찜,https://storage.googleapis.com/gc_cheersmate/찜/갈비찜/Img_124_0965.jpg
찜,김치찜,https://storage.googleapis.com/gc_cheersmate/찜/김치찜/Img_126_0974.jpg
찜,꼬막찜,https://storage.googleapis.com/gc_cheersmate/찜/꼬막찜/Img_127_0997.jpg
찜,순대,https://storage.googleapis.com/gc_cheersmate/찜/순대/Img_130_0991.jpg
찜,족발,https://storage.googleapis.com/gc_cheersmate/찜/족발/Img_131_0984.JPG
찜,찜닭,https://storage.googleapis.com/gc_cheersmate/찜/찜닭/Img_132_0345.jpg
찜,해물찜,https://storage.googleapis.com/gc_cheersmate/찜/해물찜/Img_133_0994.jpg
탕,갈비탕,https://storage.googleapis.com/gc_cheersmate/탕/갈비탕/Img_134_0968.JPG
탕,감자탕,https://storage.googleapis.com/gc_cheersmate/탕/감자탕/Img_135_0976.jpg
탕,곰탕,https://storage.googleapis.com/gc_cheersmate/탕/곰탕/Img_136_0972.JPG
탕,매운탕,https://storage.googleapis.com/gc_cheersmate/탕/매운탕/Img_137_0993.jpg
탕,삼계탕,https://storage.googleapis.com/gc_cheersmate/탕/삼계탕/Img_138_0996.jpg
탕,추어탕,https://storage.googleapis.com/gc_cheersmate/탕/추어탕/Img_139_0130.jpg
튀김,고추튀김,https://storage.googleapis.com/gc_cheersmate/튀김/고추튀김/Img_140_0190.jpg
튀김,새우튀김,https://storage.googleapis.com/gc_cheersmate/튀김/새우튀김/Img_141_0977.jpg
튀김,오징어튀김,https://storage.googleapis.com/gc_cheersmate/튀김/오징어튀김/Img_142_0023.jpg
한과,약과,https://storage.googleapis.com/gc_cheersmate/한과/약과/Img_143_0997.jpg
한과,약식,https://storage.googleapis.com/gc_cheersmate/한과/약식/Img_144_0969.jpg
한과,한과,https://storage.googleapis.com/gc_cheersmate/한과/한과/Img_145_0024.jpg
해물,멍게,https://storage.googleapis.com/gc_cheersmate/해물/멍게/Img_146_0053.jpg
해물,산낙지,https://storage.googleapis.com/gc_cheersmate/해물/산낙지/Img_147_0123.jpg
회,물회,https://storage.googleapis.com/gc_cheersmate/회/물회/Img_148_0793.jpg
